标题,年份,评分,评价人数
肖申克的救赎,1994,9.7,3234890
霸王别姬,1993,9.6,2387516
泰坦尼克号,1997,9.5,2457586
阿甘正传,1994,9.5,2397073
千与千寻,2001,9.4,2497825
美丽人生,1997,9.5,1461217
星际穿越,2014,9.4,2137671
这个杀手不太冷,1994,9.4,2521382
盗梦空间,2010,9.4,2291860
楚门的世界,1998,9.4,1980685
辛德勒的名单,1993,9.5,1231373
忠犬八公的故事,2009,9.4,1523994
海上钢琴师,1998,9.3,1854738
疯狂动物城,2016,9.3,2253358
三傻大闹宝莱坞,2009,9.2,2049451
机器人总动员,2008,9.3,1466352
放牛班的春天,2004,9.3,1452975
无间道,2002,9.3,1539323
控方证人,1957,9.6,693473
大话西游之大圣娶亲,1995,9.2,1687512
熔炉,2011,9.3,1023715
寻梦环游记,2017,9.1,1944965
触不可及,2011,9.3,1273984
教父,1972,9.3,1088278
当幸福来敲门,2006,9.1,1665966
末代皇帝,1987,9.3,1012101
哈利·波特与魔法石,2001,9.2,1395747
龙猫,1988,9.2,1393232
活着,1994,9.3,955335
怦然心动,2010,9.1,2023422
蝙蝠侠：黑暗骑士,2008,9.2,1177084
指环王3：王者无敌,2003,9.3,896845
我不是药神,2018,9.0,2322654
乱世佳人,1939,9.3,780703
飞屋环游记,2009,9.1,1476568
让子弹飞,2010,9.0,1894809
哈尔的移动城堡,2004,9.1,1267019
十二怒汉,1957,9.4,567710
海蒂和爷爷,2015,9.3,759693
素媛,2013,9.3,765834
猫鼠游戏,2002,9.1,1187940
天空之城,1986,9.2,995131
鬼子来了,2000,9.3,704971
摔跤吧！爸爸,2016,9.0,1723310
少年派的奇幻漂流,2012,9.1,1473155
钢琴家,2002,9.3,737830
指环王2：双塔奇兵,2002,9.2,844241
死亡诗社,1989,9.2,862276
大话西游之月光宝盒,1995,9.0,1347202
何以为家,2018,9.1,1150226
绿皮书,2018,8.9,1863899
闻香识女人,1992,9.1,1007548
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,501379
黑客帝国,1999,9.1,935708
指环王1：护戒使者,2001,9.1,945731
罗马假日,1953,9.1,1036289
教父2,1974,9.3,628439
狮子王,1994,9.1,946840
天堂电影院,1988,9.2,732962
饮食男女,1994,9.2,711918
辩护人,2013,9.2,651012
本杰明·巴顿奇事,2008,9.0,1091103
搏击俱乐部,1999,9.0,957514
美丽心灵,2001,9.1,844726
穿条纹睡衣的男孩,2008,9.2,633489
情书,1995,8.9,1303745
哈利·波特与死亡圣器(下),2011,9.0,956179
两杆大烟枪,1998,9.1,667205
窃听风暴,2006,9.2,624758
音乐之声,1965,9.1,674897
功夫,2004,8.9,1313509
西西里的美丽传说,2000,8.9,1081388
哈利·波特与阿兹卡班的囚徒,2004,9.0,875627
阿凡达,2009,8.8,1554803
看不见的客人,2016,8.8,1421689
拯救大兵瑞恩,1998,9.1,716064
沉默的羔羊,1991,8.9,1001685
小鞋子,1997,9.2,457215
布达佩斯大饭店,2014,8.9,1069215
飞越疯人院,1975,9.1,596902
蝴蝶效应,2004,8.9,1053570
禁闭岛,2010,8.9,1098113
心灵捕手,1997,9.0,804765
致命魔术,2006,8.9,952685
低俗小说,1994,8.9,945275
还有明天,2023,9.3,341225
超脱,2011,9.0,711648
哈利·波特与密室,2002,8.9,901139
喜剧之王,1999,8.8,1080846
一一,2000,9.1,493008
摩登时代,1936,9.3,341591
杀人回忆,2003,8.9,824160
致命ID,2003,8.9,934155
春光乍泄,1997,9.0,702377
加勒比海盗,2003,8.8,956554
海豚湾,2009,9.3,379635
美国往事,1984,9.1,465272
红辣椒,2006,9.0,559066
七宗罪,1995,8.8,1048660
唐伯虎点秋香,1993,8.8,1209449
狩猎,2012,9.1,461872
幽灵公主,1997,8.9,660192
甜蜜蜜,1996,8.9,661922
寄生虫,2019,8.8,1529858
蝙蝠侠：黑暗骑士崛起,2012,8.9,804603
天书奇谭,1983(中国大陆) / 2021,9.2,327894
7号房的礼物,2013,8.9,615668
超能陆战队,2014,8.8,1131375
爱在黎明破晓前,1995,8.8,788010
第六感,1999,8.9,628826
爱在日落黄昏时,2004,8.9,644138
被嫌弃的松子的一生,2006,8.8,767694
茶馆,1982(中国大陆),9.6,202250
重庆森林,1994,8.8,913053
未麻的部屋,1997,9.1,417432
哈利·波特与火焰杯,2005,8.8,788751
头脑特工队,2015,8.8,790101
入殓师,2008,8.9,737463
借东西的小人阿莉埃蒂,2010,8.9,620687
菊次郎的夏天,1999,8.9,667066
剪刀手爱德华,1990,8.7,1112434
断背山,2005,8.8,774156
勇敢的心,1995,8.9,601095
时空恋旅人,2013,8.8,780142
消失的爱人,2014,8.7,1061885
倩女幽魂,1987,8.8,828088
无人知晓,2004,9.1,367966
驯龙高手,2010,8.8,853561
花样年华,2000,8.8,792685
傲慢与偏见,2005,8.7,917441
新世界,2013,8.9,518958
完美的世界,1993,9.1,356578
阳光灿烂的日子,1994,8.8,688165
一个叫欧维的男人决定去死,2015,8.9,560393
小森林 夏秋篇,2014,9.0,469061
玩具总动员3,2010,8.9,584538
天使爱美丽,2001,8.7,1014537
怪兽电力公司,2001,8.8,760967
色，戒,2007,8.7,947948
侧耳倾听,1995,8.9,515628
教父3,1990,9.0,426311
请以你的名字呼唤我,2017,8.8,814552
哪吒闹海,1979,9.2,304506
幸福终点站,2004,8.8,634665
九品芝麻官,1994,8.8,783567
被解救的姜戈,2012,8.8,683583
釜山行,2016,8.6,1336442
小森林 冬春篇,2015,9.0,416530
神偷奶爸,2010,8.7,1037412
喜宴,1993,9.0,424805
萤火之森,2011,8.8,603544
告白,2010,8.8,736656
玛丽和麦克斯,2009,9.0,465551
头号玩家,2018,8.6,1501838
七武士,1954,9.3,231866
模仿游戏,2014,8.8,714272
大鱼,2003,8.8,621454
惊魂记,1960,9.0,350444
射雕英雄传之东成西就,1993,8.7,711581
血战钢锯岭,2016,8.7,852658
你的名字。,2016,8.5,1577508
我是山姆,2001,9.0,372640
心灵奇旅,2020,8.7,1126661
背靠背，脸对脸,1994,9.5,175561
阳光姐妹淘,2011,8.8,633580
恐怖直播,2013,8.7,721754
黑客帝国3：矩阵革命,2003,8.8,492711
三块广告牌,2017,8.7,911630
电锯惊魂,2004,8.7,605732
小丑,2019,8.7,1116772
谍影重重3,2007,8.9,465778
达拉斯买家俱乐部,2013,8.8,501438
无间道2,2003,8.8,559607
疯狂原始人,2013,8.7,913372
末路狂花,1991,9.0,338021
高山下的花环,1984(中国大陆) / 1985,9.5,152852
绿里奇迹,1999,8.9,383677
爱在午夜降临前,2013,8.9,466828
海街日记,2015,8.8,515045
疯狂的石头,2006,8.6,916655
风之谷,1984,8.9,390662
上帝之城,2002,9.0,330687
雨中曲,1952,9.1,264210
2001太空漫游,1968,8.9,388773
心迷宫,2014,8.7,609207
英雄本色,1986,8.6,600772
机器人之梦,2023,9.1,400096
记忆碎片,2000,8.7,663089
纵横四海,1991,8.8,469850
卢旺达饭店,2004,8.9,364156
无敌破坏王,2012,8.7,606024
小偷家族,2018,8.7,888922
恐怖游轮,2009,8.5,978914
冰川时代,2002,8.7,680178
牯岭街少年杀人事件,1991,8.9,363055
东京教父,2003,9.0,284763
魔女宅急便,1989,8.7,519489
岁月神偷,2010,8.7,609747
忠犬八公物语,1987,9.2,216581
芙蓉镇,1987,9.3,185827
荒蛮故事,2014,8.7,511636
遗愿清单,2007,8.7,531004
大佛普拉斯,2017,8.7,546814
源代码,2011,8.6,917527
疯狂的麦克斯4：狂暴之路,2015,8.7,612330
你看起来好像很好吃,2010,8.9,372023
贫民窟的百万富翁,2008,8.6,802451
花束般的恋爱,2021,8.6,810419
可可西里,2004,8.9,342386
城市之光,1931,9.3,170287
白日梦想家,2013,8.6,633121
波西米亚狂想曲,2018,8.6,683184
东邪西毒,1994,8.6,630947
爆裂鼓手,2014,8.6,683596
青蛇,1993,8.6,596124
爱乐之城,2016,8.4,1083045
哈利·波特与死亡圣器(上),2010,8.6,686421
无耻混蛋,2009,8.7,553515
黑天鹅,2010,8.6,841213
终结者2：审判日,1991,8.8,380831
大红灯笼高高挂,1991,8.8,363633
初恋这件小事,2010,8.5,1045759
新龙门客栈,1992,8.7,503499
人工智能,2001,8.7,497343
雨人,1988,8.7,440026
崖上的波妞,2008,8.6,569365
千钧一发,1997,8.8,345256
虎口脱险,1966,8.9,292078
罗生门,1950,8.8,354660
真爱至上,2003,8.5,799368
哈利·波特与凤凰社,2007,8.6,685894
彗星来的那一夜,2013,8.6,675154
恋恋笔记本,2004,8.5,741738
海边的曼彻斯特,2016,8.6,643548
火星救援,2015,8.5,823232
黑客帝国2：重装上阵,2003,8.7,451060
奇迹男孩,2017,8.6,596695
步履不停,2008,8.8,322325
千年女优,2001,8.8,314127
战争之王,2005,8.7,411504
萤火虫之墓,1988,8.7,436410
谍影重重2,2004,8.7,395538
蜘蛛侠：平行宇宙,2018,8.6,749779
攻壳机动队,1995,9.0,213953
冰雪奇缘,2013,8.5,814143
血钻,2006,8.7,418498
魂断蓝桥,1940,8.8,307871
隐藏人物,2016,8.9,267092
房间,2015,8.7,397457
小姐,2016,8.5,563529
